종목명,종목코드,기간(년),거래일수,매수횟수,승률(%),총수익률(%),CAGR(%),MDD(%)
고려아연,010130,12.1,723,723,49.5,756.4,19.4,-35.7
알테오젠,196170,10.9,681,681,58.0,108257.8,90.0,-26.8
한화오션,042660,12.1,598,598,54.0,3868.0,35.6,-25.6
HD현대일렉트릭,267260,8.4,563,563,55.4,3246.5,51.5,-26.2
한화에어로스페이스,012450,11.9,764,764,57.2,-121.8,,-100.6
SK스퀘어,402340,3.9,283,283,47.3,40.8,9.1,-30.1
두산에너빌리티,034020,11.9,680,680,57.2,16121.9,53.5,-20.5
SK하이닉스,000660,12.1,773,773,53.2,556.2,16.8,-25.3
HD현대중공업,329180,4.1,276,276,53.6,332.9,43.4,-14.9
삼성SDI,006400,12.1,712,712,54.9,2014.1,28.7,-17.9
