종목,K,거래,승률,CAGR
고려아연,0.3,1003,46.5,17.5
고려아연,0.4,857,46.9,13.0
고려아연,0.5,723,46.9,12.5
고려아연,0.6,619,47.0,10.6
고려아연,0.7,507,47.7,13.5
알테오젠,0.3,899,55.2,105.5
알테오젠,0.4,781,56.1,91.1
알테오젠,0.5,681,55.5,78.6
알테오젠,0.6,589,57.4,70.8
알테오젠,0.7,526,56.7,54.4
한화오션,0.3,791,53.1,48.1
한화오션,0.4,682,53.1,38.4
한화오션,0.5,596,52.5,29.1
한화오션,0.6,512,53.1,26.6
한화오션,0.7,443,51.5,20.1
HD현대일렉트릭,0.3,774,52.7,37.8
HD현대일렉트릭,0.4,665,53.4,44.3
HD현대일렉트릭,0.5,564,53.2,41.7
HD현대일렉트릭,0.6,498,52.0,27.0
HD현대일렉트릭,0.7,435,49.9,16.9
한화에어로스페이스,0.3,1045,53.9,
한화에어로스페이스,0.4,884,54.5,
한화에어로스페이스,0.5,764,55.4,
한화에어로스페이스,0.6,664,55.1,30.4
한화에어로스페이스,0.7,575,54.4,25.9
SK스퀘어,0.3,393,47.1,5.7
SK스퀘어,0.4,330,46.7,8.8
SK스퀘어,0.5,284,44.7,0.5
SK스퀘어,0.6,245,44.5,5.3
SK스퀘어,0.7,201,47.8,11.2
두산에너빌리티,0.3,893,55.4,70.8
두산에너빌리티,0.4,775,55.0,56.9
두산에너빌리티,0.5,680,54.6,45.0
두산에너빌리티,0.6,569,57.1,40.4
두산에너빌리티,0.7,489,60.1,33.5
SK하이닉스,0.3,1084,51.8,14.9
SK하이닉스,0.4,928,51.1,10.4
SK하이닉스,0.5,773,51.6,9.6
SK하이닉스,0.6,625,53.1,11.8
SK하이닉스,0.7,508,57.1,13.0
HD현대중공업,0.3,368,53.8,54.3
HD현대중공업,0.4,324,51.9,39.0
HD현대중공업,0.5,276,52.5,34.0
HD현대중공업,0.6,238,52.9,32.2
HD현대중공업,0.7,208,50.0,24.1
삼성SDI,0.3,976,52.9,25.0
삼성SDI,0.4,837,52.7,20.8
삼성SDI,0.5,711,52.5,21.5
삼성SDI,0.6,593,54.0,20.9
삼성SDI,0.7,489,56.4,19.6
