Name,Code,1년,2년,3년,평균
고려아연,010130,77.21,74.43,63.41,71.68
알테오젠,196170,54.31,71.37,70.6,65.43
한화오션,042660,63.21,60.55,59.47,61.08
HD현대일렉트릭,267260,57.32,64.47,59.9,60.56
한화에어로스페이스,012450,64.15,60.65,55.95,60.25
SK스퀘어,402340,62.93,60.78,52.72,58.81
두산에너빌리티,034020,62.85,55.32,49.77,55.98
SK하이닉스,000660,53.9,51.48,46.58,50.65
HD현대중공업,329180,53.49,51.59,46.52,50.53
삼성SDI,006400,49.02,48.04,45.36,47.47
HD한국조선해양,009540,48.99,46.79,42.43,46.07
카카오,035720,51.81,44.33,41.32,45.82
LG에너지솔루션,373220,48.2,44.16,44.31,45.56
LG화학,051910,49.63,44.36,42.65,45.55
한국전력,015760,46.85,41.38,37.35,41.86
삼성생명,032830,41.77,42.74,36.55,40.35
삼성화재,000810,39.76,42.83,38.17,40.25
POSCO홀딩스,005490,39.15,38.09,43.22,40.15
NAVER,035420,43.5,37.61,36.78,39.3
KB금융,105560,35.68,39.26,35.96,36.97
삼성물산,028260,38.79,38.61,33.14,36.85
하나금융지주,086790,33.05,36.25,34.21,34.5
현대차,005380,34.39,36.62,32.35,34.45
기아,000270,32.74,35.94,33.14,33.94
셀트리온,068270,30.49,35.29,33.8,33.19
현대모비스,012330,34.07,32.98,30.83,32.63
삼성전자,005930,33.63,32.76,29.44,31.94
신한지주,055550,29.42,34.45,31.88,31.92
삼성바이오로직스,207940,31.66,30.85,28.2,30.24
삼성전자우,005935,31.89,30.57,27.5,29.99
